country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
Zambia,4863,4998,3315,4689,5775,0,0,0,0,8580,3268,9369,9021,9178,8289,7737,6484,
Zimbabwe,0,0,0,0,0,0,0,1192,1248,1139,1788,412,1844,1044,1809,1916,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Bolivia,0,0,0,0,0,0,0,0,23,0,0,0,4,2,0,0,0,
Brazil,0,0,0,0,0,0,0,0,0,0,0,142,93,103,100,122,97,
Colombia,0,0,0,0,0,0,0,0,0,0,0,58,40,24,25,28,53,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,14,0,0,16,11,12,16,16,10,
Ecuador,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,
Guatemala,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,
Guyana,0,0,0,0,0,0,0,0,34,0,0,0,0,0,8,22,20,
Haiti,0,0,0,0,0,0,0,0,25,0,0,16,0,16,0,29,32,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,2,8,7,1,6,1,
Panama,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peru,0,0,0,0,0,0,0,0,0,0,0,25,12,25,12,0,0,
Suriname,0,0,0,0,0,0,0,0,0,0,0,23,16,18,7,2,1,
Venezuela (Bolivarian Republic of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,25,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iran,0,0,0,0,0,0,0,22,0,3,4,2,2,5,1,1,1,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,52,9,
Saudi Arabia,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,8,54,79,15,58,
Sudan,0,0,0,0,932,0,1944,1825,1958,2622,2162,2252,2125,2479,1814,1703,99,
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,73,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russian Federation,1,1,0,1,3,2,3,4,0,3,2,0,2,0,0,0,0,
Tajikistan,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uzbekistan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,1393,794,469,528,552,484,470,598,1250,411,0,0,
Bhutan,0,0,0,0,0,0,25,14,17,0,0,14,11,15,5,5,6,
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Democratic Republic of Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,88,68,
India,0,0,0,0,0,0,2803,879,666,0,938,1015,973,1006,949,963,1708,
Indonesia,0,0,0,0,0,0,148,199,45,0,0,68,197,0,0,0,494,
Myanmar,0,0,0,0,0,0,3424,2943,3182,3648,2756,2814,2634,2476,1982,1707,1647,
Nepal,0,0,0,0,0,0,15,2,7,0,0,1,3,5,7,10,42,
Sri Lanka,0,0,0,0,0,0,26,61,115,0,0,53,30,2,2,0,0,
Thailand,1287,0,0,0,0,0,826,764,688,740,625,424,361,325,230,71,113,
Cambodia,1020,1163,1408,1100,1009,614,745,811,621,891,608,476,457,492,382,296,396,
China,35,0,52,19,43,34,30,46,24,67,39,28,42,52,31,48,38,
Laos,372,457,438,418,609,620,608,606,427,338,350,244,195,187,105,77,21,
Malaysia,43,0,25,23,28,35,40,25,27,21,35,46,39,21,35,33,21,
Papua New Guinea,457,0,500,448,281,415,514,390,651,567,617,619,678,559,644,731,668,
Philippines,913,924,864,811,784,643,536,514,561,755,536,439,98,162,167,145,109,
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,33,46,33,40,49,51,30,27,33,23,38,55,59,71,34,38,12,
Vanuatu,32,32,26,13,8,4,0,0,0,0,0,2,8,8,1,10,6,
Viet Nam,3340,4646,2632,1026,604,348,203,152,183,190,148,91,50,50,24,18,41,
,,,,,,,,,,,,,,,,,,

